tweet_id,timestamp,source_archive,text_archive,retweeted_status_timestamp_archive,expanded_urls_archive,rating_numerator_archive,rating_denominator_archive,name,dog_type,jpg_url_image,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,jpg_url_tweet,favorite_count,retweet_count
892420643555336193,2017-08-01 16:23:56+00:00,iphone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut.,,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13,10,Phineas,,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1.0,Orange,0.097,False,Bagel,0.0859,False,Banana,0.0761,False,,39492.0,8842.0
892177421306343426,2017-08-01 00:17:27+00:00,iphone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit.",,https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,10,Tilly,,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1.0,Chihuahua,0.3236,True,Pekinese,0.0906,True,Papillon,0.069,True,,33786.0,6480.0
891815181378084864,2017-07-31 00:18:03+00:00,iphone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike.,,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,Archie,,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1.0,Chihuahua,0.716,True,Malamute,0.0783,True,Kelpie,0.0314,True,,25445.0,4301.0
891689557279858688,2017-07-30 15:58:51+00:00,iphone,This is Darla. She commenced a snooze mid meal.,,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13,10,Darla,,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1.0,Paper_Towel,0.1703,False,Labrador_Retriever,0.1681,True,Spatula,0.0408,False,,42863.0,8925.0
891327558926688256,2017-07-29 16:00:24+00:00,iphone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such.",,https://twitter.com/dog_rates/status/891327558926688256/photo/1,12,10,Franklin,,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2.0,Basset,0.5557,True,English_Springer,0.2258,True,German_Short-Haired_Pointer,0.1752,True,https://pbs.twimg.com/media/DF6hr6AVYAAZ8G8.jpg,41016.0,9721.0
891087950875897856,2017-07-29 00:08:17+00:00,iphone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking.,,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13,10,None,,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1.0,Chesapeake_Bay_Retriever,0.4256,True,Irish_Terrier,0.1163,True,Indian_Elephant,0.0769,False,,20548.0,3240.0
890971913173991426,2017-07-28 16:27:12+00:00,iphone,"Meet Jax. He enjoys ice cream so much he gets nervous around it.

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",,https://twitter.com/dog_rates/status/890971913173991426/photo/1,13,10,Jax,,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1.0,Appenzeller,0.3417,True,Border_Collie,0.1993,True,Ice_Lolly,0.1935,False,,12053.0,2142.0
890729181411237888,2017-07-28 00:22:40+00:00,iphone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy.,,https://twitter.com/dog_rates/status/890729181411237888/photo/1,13,10,None,,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2.0,Pomeranian,0.5661,True,Eskimo_Dog,0.1784,True,Pembroke,0.0765,True,https://pbs.twimg.com/media/DFyBag_UQAAhhBC.jpg,66596.0,19548.0
890609185150312448,2017-07-27 16:25:51+00:00,iphone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet.,,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,10,Zoey,,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1.0,Irish_Terrier,0.4876,True,Irish_Setter,0.1931,True,Chesapeake_Bay_Retriever,0.1182,True,,28187.0,4403.0
890240255349198849,2017-07-26 15:59:51+00:00,iphone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory.,,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,Cassie,doggo,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1.0,Pembroke,0.5113,True,Cardigan,0.451,True,Chihuahua,0.0292,True,,32467.0,7684.0
